molecule_chembl_id,median_ic50_nM,n_measurements,min_ic50_nM,max_ic50_nM,pIC50,canonical_smiles,valid_smiles
CHEMBL114728,1600.0,1,1600.0,1600.0,5.795880017344075,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C,True
CHEMBL115187,130.0,1,130.0,130.0,6.886056647693163,CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC,True
CHEMBL115440,930.0,1,930.0,930.0,6.031517051446064,COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,True
CHEMBL115519,43788.19,2,4400.0,83176.38,4.358643006149695,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3cc(Cl)ccc3s2)c1O,True
CHEMBL115745,56.0,1,56.0,56.0,7.251811972993799,COc1cc2ncnc(NCc3ccccc3)c2cc1O,True
CHEMBL115895,13800.0,2,5600.0,22000.0,4.860120913598763,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2NC(C)=O)c1O,True
CHEMBL116012,10320.0,1,10320.0,10320.0,4.986320302708807,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,True
CHEMBL1161234,47863.01,1,47863.01,47863.01,4.319999993033794,COc1cc(/C=C(\C#N)C(N)=O)cc(SCCCC(=O)O)c1O,True
CHEMBL1161236,53703.18,1,53703.18,53703.18,4.2699999970646445,COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O,True
CHEMBL116308,355.0,1,355.0,355.0,6.449771646944906,O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12,True
CHEMBL116423,33800.0,2,5600.0,62000.0,4.471083299722345,Cc1cc(C=C(C#N)C#N)cc(O)c1O,True
CHEMBL116525,910.0,1,910.0,910.0,6.040958607678906,CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,True
CHEMBL116547,2625.0,2,750.0,4500.0,5.580870692258024,COc1cc(/C=C(\C#N)C(=O)c2ccc(O)c(O)c2)cc(CSCc2ccccc2)c1O,True
CHEMBL116595,500.0,3,400.0,2900.0,6.301029995663981,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O,True
CHEMBL116748,5900.0,1,5900.0,5900.0,5.229147988357855,O=[N+]([O-])c1ccc2c(NCc3ccccc3)ncnc2c1,True
CHEMBL116853,45050.955,2,90.0,90011.91,4.3462959983179,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C#CCN(C)C,True
CHEMBL116857,2880.0,1,2880.0,2880.0,5.5406075122407685,COc1cc(NC(=O)/C=C/CN(C)C)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,True
CHEMBL116919,10000.0,1,10000.0,10000.0,5.0,COc1ccc(CNc2ncnc3ccccc23)cc1,True
CHEMBL1169856,5190.0,1,5190.0,5190.0,5.284832642151542,Cc1ccc(C2=NN(C(N)=S)C(c3ccccc3F)C2)cc1C,True
CHEMBL1169870,8150.0,1,8150.0,8150.0,5.088842391260023,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Cl)cc1,True
CHEMBL1170278,3880.0,1,3880.0,3880.0,5.411168274405792,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc2ccccc12,True
CHEMBL1170459,5760.0,1,5760.0,5760.0,5.239577516576788,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,True
CHEMBL1171273,32000.0,1,32000.0,32000.0,4.494850021680094,COc1ccccc1/C=C/C(=O)OCCn1c([N+](=O)[O-])cnc1C,True
CHEMBL1171638,21480.0,1,21480.0,21480.0,4.667965722972482,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccccc1Cl,True
CHEMBL1171792,85.0,1,85.0,85.0,7.070581074285707,Cc1ccc(Br)c2c(C#N)cc(C(=O)C3CC3)n12,True
CHEMBL1171822,19320.0,1,19320.0,19320.0,4.713992877920526,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(C)cc1,True
CHEMBL1172418,24150.0,1,24150.0,24150.0,4.617082864912469,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl,True
CHEMBL1172419,28690.0,1,28690.0,28690.0,4.542269451754001,CC(=O)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1,True
CHEMBL1172573,6270.0,1,6270.0,6270.0,5.202732459169283,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc(F)cc1,True
CHEMBL1172602,25470.0,1,25470.0,25470.0,4.593971055036385,COc1cc(OC)cc(C2CC(c3ccc(Cl)c(Cl)c3)=NN2C(C)=O)c1,True
CHEMBL1172603,15560.0,1,15560.0,15560.0,4.80799040734633,CC(=O)N1N=C(c2ccc(C)c(C)c2)CC1c1ccc(F)cc1,True
CHEMBL1172773,82.0,1,82.0,82.0,7.086186147616283,C=CC(=O)Nc1ccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)cc1,True
CHEMBL1172781,223.0,3,52.0,393.0,6.651695136951839,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1,True
CHEMBL1172802,4120.0,1,4120.0,4120.0,5.3851027839668655,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1,True
CHEMBL1172803,3620.0,1,3620.0,3620.0,5.441291429466834,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,True
CHEMBL1172823,8920.0,1,8920.0,8920.0,5.049635145623877,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(F)cc1,True
CHEMBL1172843,20.0,3,7.0,28.0,7.698970004336019,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,True
