molecule_chembl_id,canonical_smiles,pIC50,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,RingCount,HeavyAtomCount
CHEMBL85021,CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,5.105130343254747,321.4200000000001,5.131700000000004,49.33,2,2,3,3,24
CHEMBL86326,COc1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,4.714442690992226,341.83800000000014,5.138800000000004,38.33,1,2,2,3,24
CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,4.536107011014093,415.4710000000003,2.0508,142.35000000000002,4,4,5,4,29
CHEMBL86754,Oc1c(I)cc(I)c2cccnc12,5.723768042078167,396.95300000000003,3.1496000000000013,33.120000000000005,1,2,0,2,13
CHEMBL87084,Oc1cc2cc(-c3ccncc3)cnc2cc1O,5.301029995663981,238.24599999999998,2.7080000000000006,66.24000000000001,2,4,1,3,18
CHEMBL87746,COc1c(Br)cc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,4.721246399047171,386.28900000000016,5.247900000000004,38.33,1,2,2,3,24
CHEMBL89505,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O,5.102372908709558,349.47400000000016,5.479900000000005,49.33,2,2,1,3,26
CHEMBL89723,CC(C)c1cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc(C(C)C)c1O,5.022276394711152,355.8650000000001,5.785100000000004,49.33,2,2,3,3,25
CHEMBL89940,Nc1ccc2ncnc(Nc3ccccc3)c2c1,6.113509274827518,236.27800000000005,2.9556000000000004,63.83,2,4,2,3,18
CHEMBL90013,CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.958607314841775,343.228,4.201900000000003,41.05,1,4,3,3,21
CHEMBL90540,COc1cc2ncnc(NC3CC3c3ccccc3)c2cc1OC(C)=O,7.075720713938118,349.39000000000016,3.5317000000000016,73.34,1,6,5,4,26
